|------------------------------------------------------------------------------------------------------------------------------------
|                                COMPONENT  CENTER  REPORT
|------------------------------------------------------------------------------------------------------------------------------------
|             |                              |                              |                              |        MM         |   | 
|             |                              |                              |                              |-------------------|   | 
|   refdes    |         device type          |      value & tolerance       |        package symbol        |    x    |    y    |ang|m
|------------------------------------------------------------------------------------------------------------------------------------
PC1568         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            326.492   317.125 270 Y
PC1570         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            327.762   317.125 270 Y
PC1571         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            400.914   303.657 270 Y
PC1575         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            400.914   314.706 90  Y
PC1579         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            334.112   314.204 90  Y
PC1581         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            323.952   314.204 90  Y
PC1582         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            323.952   317.125 270 Y
PC1584         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            329.032   314.204 90  Y
PC1585         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            330.837   320.802 90  Y
PC1587         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            335.382   314.204 90  Y
PC1588         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            331.572   317.125 270 Y
PC1592         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            423.812   265.521 90  Y
PC1603         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            424.815   272.517 270 Y
PC1604         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            423.545   272.517 270 Y
PC1606         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            330.833   310.896 270 Y
PC1607         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            332.103   310.896 270 Y
PC1609         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            334.264   311.656 0   Y
PC1611         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            425.082   265.521 90  Y
PC1641         C_C1206_H75_100UF/6.3V         100UF/6.3V                     C1206_H75                        327.533   102.999 0   Y
PC1642         C_C1206_H75_100UF/6.3V         100UF/6.3V                     C1206_H75                        327.533   112.905 180 Y
PC1643         C_C1206_H75_100UF/6.3V         100UF/6.3V                     C1206_H75                        327.533   320.802 180 Y
PC1644         C_C1206_H75_100UF/6.3V         100UF/6.3V                     C1206_H75                        327.533   310.896 0   Y
PC1648         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            344.653   370.969 180 Y
PC1662         C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            449.414   411.617 180 Y
PC1693         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            179.451   275.209 90  Y
PC1708         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            179.451   271.272 270 Y
PC1720         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            180.791   275.225 90  Y
PC1766         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.358   208.050 180 Y
PC1767         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.769   153.164 180 Y
PC1770         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            338.566   153.164 180 Y
PC1771         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            338.328   163.070 180 Y
PC1772         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            338.836   170.944 180 Y
PC1773         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            338.709   174.137 0   Y
PC1774         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.661   186.692 180 Y
PC1775         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            335.280   189.885 180 Y
PC1776         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            342.562   210.341 180 Y
PC1777         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            344.551   166.241 0   Y
PC1778         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            342.265   184.402 0   Y
PC1781         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.153   155.192 0   Y
PC1782         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            338.709   158.389 0   Y
PC1783         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            338.709   166.263 0   Y
PC1784         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.407   178.814 0   Y
PC1785         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            335.788   181.989 0   Y
PC1786         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            318.262   194.435 0   Y
PC1787         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            335.280   197.759 180 Y
PC1788         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            344.551   189.863 0   Y
PC1789         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            343.154   205.633 180 Y
PC1791         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            317.500   155.087 180 Y
